family,variant,pipeline,runs,offline_failure_rate,online_failure_rate,total_objective_mean,total_objective_std,total_objective_sem,total_objective_ci95,offline_obj_mean,offline_obj_std,offline_obj_ci95,online_cost_mean,online_cost_std,online_cost_ci95,offline_runtime_mean,offline_runtime_std,online_runtime_mean,online_runtime_std,offline_fallback_mean,offline_fallback_ci95,online_fallback_mean,online_fallback_ci95,final_fallback_mean,final_fallback_ci95
baseline_ab,baseline_A,BFD+BestFit,30,0.0,0.0,899.0652706120469,20.831868019948576,3.8033613431654385,7.45458823260426,179.62383673503834,8.856846990951137,3.169381991739585,719.4414338770085,19.34132098190302,6.921202825241019,0.0006087555394818385,2.4801398689514134e-05,0.0045257361838594076,0.0001902099017507768,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,BFD+NextFit,30,0.0,1.0,401.3793110956438,57.46047801718339,10.490799991680355,20.561967983693496,179.62383673503834,8.856846990951137,3.169381991739585,221.75547436060546,57.8659509540637,20.707064610698474,0.0006169165717437863,3.691936278689686e-05,0.0008528181894992789,0.00022618025435286844,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,CostAwareBFD+CostAwareBestFit,30,0.0,0.0,387.2699158825093,10.933211353475492,1.9961221614233717,3.9123994363898085,70.06844354148811,1.9071515681526239,0.6824654238462482,317.2014723410212,9.988885918102648,3.5744769192378074,0.0007104513623441259,0.00011439634677021429,0.07354772496813287,0.005780627647531807,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,FFD+BestFit,30,0.0,0.0,898.4952327589789,24.45462611145395,4.464783452199391,8.750975566310807,180.3951547912989,8.324524122530644,2.9788926997052094,718.1000779676801,21.84788604251685,7.818165612601984,0.00011734162302066883,7.856887097890373e-06,0.004683793072278301,0.0009675734020325438,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,FFD+NextFit,30,0.0,1.0,484.2631295165988,81.13916930213237,14.813917774669536,29.03527883835229,180.3951547912989,8.324524122530644,2.9788926997052094,303.8679747253001,80.04670717359431,28.64434628635229,0.00011433329588423173,7.8466429496355e-06,0.0009014027658849954,0.00023577458291473033,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,MILP(BFD-warm)+BestFit,30,0.0,0.0,783.7952306115866,23.09495550616326,4.216542698434586,8.264423688931789,69.22739594136785,1.6440645620088106,0.5883209477832899,714.5678346702189,23.112988455388066,8.27087669693672,0.015797861417134604,0.0016731324801343053,0.0045300485411038,0.00015972549964453445,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,MILP(BFD-warm)+CostAwareBestFit,30,0.0,0.0,385.20829137679,10.005930332966567,1.8268245840636554,3.5805761847647646,69.22739594136785,1.6440645620088106,0.5883209477832899,315.98089543542216,9.353585438314026,3.347137562236073,0.015686694780985513,0.0015787481396002648,0.07123069295970103,0.0029928541147954636,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,MILP+BalancedPrice,30,0.0,0.0,384.72581695957103,8.741718598870726,1.5960121559879838,3.1281838257364485,69.22739594136785,1.6440645620088106,0.5883209477832899,315.4984210182032,7.969111188216453,2.851709814554593,0.019254247347513836,0.0362086320294642,0.03230835125626375,0.0003461511593985963,0.0,0.0,0.03333333333333333,0.06533333333333333,0.03333333333333333,0.06533333333333333
baseline_ab,baseline_A,MILP+BestFit,30,0.0,0.0,783.7952306115866,23.09495550616326,4.216542698434586,8.264423688931789,69.22739594136785,1.6440645620088106,0.5883209477832899,714.5678346702189,23.112988455388066,8.27087669693672,0.012853495279947917,0.0025958422612768956,0.004469565201240281,0.00014182025615771317,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_A,MILP+CostAwareBestFit,30,0.0,0.0,385.20829137679,10.005930332966567,1.8268245840636554,3.5805761847647646,69.22739594136785,1.6440645620088106,0.5883209477832899,315.98089543542216,9.353585438314026,3.347137562236073,0.013842137654622395,0.007756989622902555,0.07159312237054109,0.0029832508623516924,0.0,0.0,0.0,0.0,0.0,0.0
