family,variant,pipeline,offline_failure_rate,online_failure_rate
graph_sparsity,dense_A,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
graph_sparsity,dense_A,MILP+BalancedPrice,0.0,0.0
graph_sparsity,dense_A,MILP+BestFit,0.0,0.0
graph_sparsity,dense_A,MILP+CostAwareBestFit,0.0,0.0
graph_sparsity,dense_A,MILP+NextFit,0.0,1.0
graph_sparsity,dense_B,BFD+BestFit,0.0,0.0
graph_sparsity,dense_B,BFD+NextFit,0.0,1.0
graph_sparsity,dense_B,CostAwareBFD+CostAwareBestFit,0.0,0.0
graph_sparsity,dense_B,FFD+BestFit,0.0,0.0
graph_sparsity,dense_B,FFD+NextFit,0.0,1.0
graph_sparsity,dense_B,MILP(BFD-warm)+BestFit,0.0,0.0
graph_sparsity,dense_B,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
graph_sparsity,dense_B,MILP+BalancedPrice,0.0,0.0
graph_sparsity,dense_B,MILP+BestFit,0.0,0.0
graph_sparsity,dense_B,MILP+CostAwareBestFit,0.0,0.0
graph_sparsity,dense_B,MILP+NextFit,0.0,1.0
graph_sparsity,sparse_A,BFD+BestFit,0.0,0.0
graph_sparsity,sparse_A,BFD+NextFit,0.0,1.0
graph_sparsity,sparse_A,CostAwareBFD+CostAwareBestFit,0.0,0.0
graph_sparsity,sparse_A,FFD+BestFit,0.0,0.0
graph_sparsity,sparse_A,FFD+NextFit,0.0,1.0
graph_sparsity,sparse_A,MILP(BFD-warm)+BestFit,0.0,0.0
graph_sparsity,sparse_A,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
graph_sparsity,sparse_A,MILP+BalancedPrice,0.0,0.0
graph_sparsity,sparse_A,MILP+BestFit,0.0,0.0
graph_sparsity,sparse_A,MILP+CostAwareBestFit,0.0,0.0
graph_sparsity,sparse_A,MILP+NextFit,0.0,1.0
graph_sparsity,sparse_B,BFD+BestFit,0.0,0.0
graph_sparsity,sparse_B,BFD+NextFit,0.0,1.0
graph_sparsity,sparse_B,CostAwareBFD+CostAwareBestFit,0.0,0.0
graph_sparsity,sparse_B,FFD+BestFit,0.0,0.03333333333333333
graph_sparsity,sparse_B,FFD+NextFit,0.0,1.0
graph_sparsity,sparse_B,MILP(BFD-warm)+BestFit,0.0,0.0
graph_sparsity,sparse_B,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
graph_sparsity,sparse_B,MILP+BalancedPrice,0.0,0.0
graph_sparsity,sparse_B,MILP+BestFit,0.0,0.0
graph_sparsity,sparse_B,MILP+CostAwareBestFit,0.0,0.0
graph_sparsity,sparse_B,MILP+NextFit,0.0,1.0
horizon_stress,long_A,BFD+BestFit,0.0,0.0
horizon_stress,long_A,BFD+NextFit,0.0,1.0
horizon_stress,long_A,CostAwareBFD+CostAwareBestFit,0.0,0.0
horizon_stress,long_A,FFD+BestFit,0.0,0.0
horizon_stress,long_A,FFD+NextFit,0.0,1.0
horizon_stress,long_A,MILP(BFD-warm)+BestFit,0.0,0.0
horizon_stress,long_A,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
horizon_stress,long_A,MILP+BalancedPrice,0.0,0.0
horizon_stress,long_A,MILP+BestFit,0.0,0.0
horizon_stress,long_A,MILP+CostAwareBestFit,0.0,0.0
horizon_stress,long_A,MILP+NextFit,0.0,1.0
horizon_stress,long_B,BFD+BestFit,0.0,1.0
horizon_stress,long_B,BFD+NextFit,0.0,1.0
horizon_stress,long_B,CostAwareBFD+CostAwareBestFit,0.0,1.0
horizon_stress,long_B,FFD+BestFit,0.0,1.0
horizon_stress,long_B,FFD+NextFit,0.0,1.0
horizon_stress,long_B,MILP(BFD-warm)+BestFit,0.0,1.0
horizon_stress,long_B,MILP(BFD-warm)+CostAwareBestFit,0.0,1.0
horizon_stress,long_B,MILP+BalancedPrice,0.0,0.0
horizon_stress,long_B,MILP+BestFit,0.0,1.0
horizon_stress,long_B,MILP+CostAwareBestFit,0.0,1.0
horizon_stress,long_B,MILP+NextFit,0.0,1.0
horizon_stress,short_A,BFD+BestFit,0.0,0.0
horizon_stress,short_A,BFD+NextFit,0.0,1.0
horizon_stress,short_A,CostAwareBFD+CostAwareBestFit,0.0,0.0
horizon_stress,short_A,FFD+BestFit,0.0,0.0
horizon_stress,short_A,FFD+NextFit,0.0,1.0
horizon_stress,short_A,MILP(BFD-warm)+BestFit,0.0,0.0
horizon_stress,short_A,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
horizon_stress,short_A,MILP+BalancedPrice,0.0,0.0
horizon_stress,short_A,MILP+BestFit,0.0,0.0
horizon_stress,short_A,MILP+CostAwareBestFit,0.0,0.0
horizon_stress,short_A,MILP+NextFit,0.0,1.0
horizon_stress,short_B,BFD+BestFit,0.0,0.0
horizon_stress,short_B,BFD+NextFit,0.0,1.0
horizon_stress,short_B,CostAwareBFD+CostAwareBestFit,0.0,0.0
horizon_stress,short_B,FFD+BestFit,0.0,0.0
horizon_stress,short_B,FFD+NextFit,0.0,1.0
horizon_stress,short_B,MILP(BFD-warm)+BestFit,0.0,0.0
horizon_stress,short_B,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
horizon_stress,short_B,MILP+BalancedPrice,0.0,0.0
horizon_stress,short_B,MILP+BestFit,0.0,0.0
horizon_stress,short_B,MILP+CostAwareBestFit,0.0,0.0
horizon_stress,short_B,MILP+NextFit,0.0,1.0
