family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
uniform,beta11_same_load,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0008118860955835,0.0012825635468448782,0.0,0.08118860955834695,0.12825635468448782,beta11_same_load
uniform,beta11_same_load,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,1.004228957585282,0.0013350090045984456,0.0,0.4228957585282078,0.13350090045984456,beta11_same_load
uniform,beta11_same_load,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.0008118860955835,0.0012825635468448782,0.0,0.08118860955834695,0.12825635468448782,beta11_same_load
uniform,beta11_same_load,off50_on50,MILP+CostAwareBestFit,50,0,50,1.000681869465775,0.0012908067608445063,0.0,0.06818694657750868,0.12908067608445065,beta11_same_load
uniform,beta11_same_load,off50_on50,MILP+DynamicLearning,50,0,50,1.004228957585282,0.0013350090045984454,0.0,0.4228957585282078,0.13350090045984453,beta11_same_load
uniform,beta11_same_load,off50_on50,MILP+PrimalDual,50,0,50,1.0008118860955835,0.0012825635468448782,0.0,0.08118860955834695,0.12825635468448782,beta11_same_load
uniform,beta11_same_load,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.0014150178288792,0.0013117133004378065,0.0,0.1415017828879206,0.13117133004378065,beta11_same_load
uniform,beta11_same_load,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.0015278990913943,0.0013047499876515504,0.0,0.15278990913942803,0.13047499876515503,beta11_same_load
